policy_id,precision,recall,f1,tp,fp,fn
87,0.8,0.308,0.444,4,1,9
88,0.333,0.231,0.273,3,6,10
89,0.8,0.25,0.381,4,1,12
9,0.0,0.0,0.0,0,1,1
90,0.778,0.368,0.5,7,2,12
91,0.429,0.429,0.429,3,4,4
92,0.0,0.0,0.0,0,3,1
93,0.0,0.0,0.0,0,0,25
94,0.333,0.429,0.375,3,6,4
95,0.667,1.0,0.8,2,1,0
96,0.6,0.375,0.462,3,2,5
97,0.75,0.333,0.462,3,1,6
98,0.0,0.0,0.0,0,1,2
99,0.25,0.133,0.174,2,6,13
